"State","State_Code","Urban_Rural","sex","Age_Group","disabl_count","disability","pop_count","pop_disabl_perc","age_high","iso_code","state_ut"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",146,"Speech",110806,0.00131761817952096,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",408,"Sight",110806,0.00368211107701749,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",221,"Other",110806,0.00199447683338447,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",243,"Mult",110806,0.00219302203851777,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",157,"MenRet",110806,0.00141689078208761,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",2046,"TotDisab",110806,0.0184647040773965,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",370,"Hear",110806,0.00333916935905998,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",82,"MenIll",110806,0.000740032128224103,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Total",419,"Move",110806,0.00378138367958414,NA,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",6,"Sight",9469,0.000633646636392439,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",4,"MenIll",9469,0.000422431090928292,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",17,"Mult",9469,0.00179533213644524,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",2,"MenRet",9469,0.000211215545464146,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",16,"Move",9469,0.00168972436371317,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",12,"Hear",9469,0.00126729327278488,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",99,"TotDisab",9469,0.0104551695004752,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",6,"Speech",9469,0.000633646636392439,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","0-4",36,"Other",9469,0.00380187981835463,4,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",44,"Sight",21375,0.00205847953216374,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",325,"TotDisab",21375,0.0152046783625731,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",49,"Other",21375,0.00229239766081871,19,"IN-AN","Union territory"
